wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
3100,2018,02,201802,5.5,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,02,201802,7.78,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,02,201802,4.19,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,02,201802,2.89,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,02,201802,3.77,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,02,201802,7.55,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,02,201802,1.22,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,02,201802,3.15,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,02,201802,2.98,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,02,201802,4.06,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6200,2018,02,201802,3.21,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6300,2018,02,201802,3.41,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6400,2018,02,201802,6.65,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6500,2018,02,201802,5.84,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7100,2018,02,201802,5.17,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7200,2018,02,201802,3.46,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7300,2018,02,201802,5.1,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7400,2018,02,201802,2.88,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7500,2018,02,201802,3.25,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
7600,2018,02,201802,1.29,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8100,2018,02,201802,6.61,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
8200,2018,02,201802,4.96,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9100,2018,02,201802,5.81,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
9400,2018,02,201802,3.22,4.98,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1000,2018,08,201808,5.23,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1100,2018,08,201808,6.17,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1200,2018,08,201808,5.39,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1300,2018,08,201808,5.38,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1400,2018,08,201808,5.76,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1500,2018,08,201808,4.06,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1600,2018,08,201808,4.53,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1700,2018,08,201808,3.26,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1800,2018,08,201808,4.03,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
1900,2018,08,201808,3.58,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
2100,2018,08,201808,7.5,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3100,2018,08,201808,6.54,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3200,2018,08,201808,8.04,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3300,2018,08,201808,4.44,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3400,2018,08,201808,3.18,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3500,2018,08,201808,3.82,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
3600,2018,08,201808,8.11,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5100,2018,08,201808,1.57,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5200,2018,08,201808,3.28,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
5300,2018,08,201808,3.14,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
6100,2018,08,201808,4.35,5.23,,,,,2023-02-10,%,Badan Pusat Statistik,6,ind1_tpt
