wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,,,,
3400,2019,00,201900,14394000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,14394,11299
3500,2019,00,201900,11739000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11739,11299
3600,2019,00,201900,12267000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12267,11299
5100,2019,00,201900,14146000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,14146,11299
5200,2019,00,201900,10640000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10640,11299
5300,2019,00,201900,7769000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,7769,11299
6100,2019,00,201900,9055000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9055,11299
6200,2019,00,201900,11236000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11236,11299
6300,2019,00,201900,12253000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12253,11299
6400,2019,00,201900,12359000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,12359,11299
6500,2019,00,201900,9343000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9343,11299
7100,2019,00,201900,11115000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11115,11299
7200,2019,00,201900,9604000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9604,11299
7300,2019,00,201900,11118000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,11118,11299
7400,2019,00,201900,9436000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9436,11299
7500,2019,00,201900,10075000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,10075,11299
7600,2019,00,201900,9235000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,9235,11299
8100,2019,00,201900,8887000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8887,11299
8200,2019,00,201900,8308000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8308,11299
9100,2019,00,201900,8125000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,8125,11299
9400,2019,00,201900,7336000,11299000,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,,,7336,11299
