wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1800,2022,00,202200,28064393,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
1900,2022,00,202200,38674194,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
2100,2022,00,202200,87240000,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3100,2022,00,202200,182909089,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3200,2022,00,202200,32182046,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3300,2022,00,202200,28362241,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3400,2022,00,202200,29980807,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3500,2022,00,202200,42714390,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
3600,2022,00,202200,39515154,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5100,2022,00,202200,34157778,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5200,2022,00,202200,18648192,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
5300,2022,00,202200,13299882,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6100,2022,00,202200,26774728,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6200,2022,00,202200,39775380,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6300,2022,00,202200,34035523,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6400,2022,00,202200,131136228,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
6500,2022,00,202200,91423634,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7100,2022,00,202200,36385000,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7200,2022,00,202200,56287531,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7300,2022,00,202200,39114029,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
7400,2022,00,202200,37996357,42463890.15,,,,,2023-02-06,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk
