wilayah,tahun,periode,id_periode,nilai,nasional,target RKP,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,
1406,2015,03,201503,72220,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1407,2015,03,201503,64740,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1408,2015,03,201503,40000,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1409,2015,03,201503,49130,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1410,2015,03,201503,61640,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1471,2015,03,201503,33760,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1473,2015,03,201503,14970,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1501,2015,03,201503,19150,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1502,2015,03,201503,35770,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1503,2015,03,201503,28500,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1504,2015,03,201503,28100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1505,2015,03,201503,18320,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1506,2015,03,201503,30180,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1507,2015,03,201503,39100,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1508,2015,03,201503,23570,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1509,2015,03,201503,19520,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1571,2015,03,201503,55510,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1572,2015,03,201503,2980,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1601,2015,03,201503,46040,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1602,2015,03,201503,134070,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1603,2015,03,201503,86950,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1604,2015,03,201503,70670,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1605,2015,03,201503,58010,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1606,2015,03,201503,111900,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1607,2015,03,201503,100640,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1608,2015,03,201503,40630,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1609,2015,03,201503,72840,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1610,2015,03,201503,58960,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1611,2015,03,201503,31620,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1612,2015,03,201503,26810,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1613,2015,03,201503,35920,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1671,2015,03,201503,203120,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1672,2015,03,201503,21370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1673,2015,03,201503,12870,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1674,2015,03,201503,33210,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1701,2015,03,201503,34510,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1702,2015,03,201503,46040,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1703,2015,03,201503,42240,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1704,2015,03,201503,26370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1705,2015,03,201503,42470,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1706,2015,03,201503,23670,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1707,2015,03,201503,13380,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1708,2015,03,201503,22190,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1709,2015,03,201503,8930,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1771,2015,03,201503,74260,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1801,2015,03,201503,42240,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1802,2015,03,201503,81560,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1803,2015,03,201503,157710,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1804,2015,03,201503,170110,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1805,2015,03,201503,164440,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1806,2015,03,201503,140410,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1807,2015,03,201503,63090,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1808,2015,03,201503,44150,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1809,2015,03,201503,75370,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1810,2015,03,201503,45580,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1811,2015,03,201503,16020,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1812,2015,03,201503,21790,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1813,2015,03,201503,24030,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1871,2015,03,201503,100760,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1872,2015,03,201503,16240,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1901,2015,03,201503,17390,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1902,2015,03,201503,14580,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1903,2015,03,201503,6010,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1904,2015,03,201503,10190,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1905,2015,03,201503,7200,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
1906,2015,03,201503,8710,28592790,,,,,2015-10-21,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin,
