wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator,
1700,2019,00,201900,8.73,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1700,2019,00,201900,13.59,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1700,2019,00,201900,10409,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1800,2019,00,201900,70.51,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1800,2019,00,201900,7.92,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1800,2019,00,201900,12.63,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1800,2019,00,201900,10114,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
1900,2019,00,201900,70.5,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
1900,2019,00,201900,7.98,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
1900,2019,00,201900,11.94,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
1900,2019,00,201900,12959,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
2100,2019,00,201900,69.8,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
2100,2019,00,201900,9.99,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
2100,2019,00,201900,12.83,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
2100,2019,00,201900,14466,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3100,2019,00,201900,72.79,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3100,2019,00,201900,11.06,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3100,2019,00,201900,12.97,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3100,2019,00,201900,18527,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3200,2019,00,201900,72.85,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3200,2019,00,201900,8.37,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3200,2019,00,201900,12.48,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3200,2019,00,201900,11152,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3300,2019,00,201900,74.23,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3300,2019,00,201900,7.53,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3300,2019,00,201900,12.68,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3300,2019,00,201900,11102,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3400,2019,00,201900,74.92,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3400,2019,00,201900,9.38,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3400,2019,00,201900,15.58,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3400,2019,00,201900,14394,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3500,2019,00,201900,71.18,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3500,2019,00,201900,7.59,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3500,2019,00,201900,13.16,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3500,2019,00,201900,11739,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
3600,2019,00,201900,69.84,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
3600,2019,00,201900,8.74,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
3600,2019,00,201900,12.88,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
3600,2019,00,201900,12267,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
5100,2019,00,201900,71.99,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
5100,2019,00,201900,8.84,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
5100,2019,00,201900,13.27,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
5100,2019,00,201900,14146,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
5200,2019,00,201900,66.28,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
5200,2019,00,201900,7.27,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
5200,2019,00,201900,13.48,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
5200,2019,00,201900,10640,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
5300,2019,00,201900,66.85,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
5300,2019,00,201900,7.55,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
5300,2019,00,201900,13.15,12.95,,2020-12-15,Tahun,Badan Pusat Statistik,10,ind1_hls,
5300,2019,00,201900,7769,11299,,2020-12-15,Ribu Rupiah/Orang/Tahun,Badan Pusat Statistik,11,ind1_pengeluarankapita,
6100,2019,00,201900,70.56,71.34,,2020-12-15,Tahun,Badan Pusat Statistik,8,ind1_ahh,
6100,2019,00,201900,7.31,8.34,,2020-12-15,Tahun,Badan Pusat Statistik,9,ind1_rls,
