wilayah,tahun,periode,id_periode,nilai_struktur,nasional,nilai_pertumbuhan,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator
1600,2020,01,202001,11.91,,2.69,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1600,2020,01,202001,14.17,,7.54,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1600,2020,01,202001,2.52,,6.17,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1600,2020,01,202001,2.02,,7.56,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1600,2020,01,202001,3.03,,9.58,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1600,2020,01,202001,2.32,,0.21,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1600,2020,01,202001,3.31,,8.30,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1600,2020,01,202001,0.14,,9.05,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1600,2020,01,202001,2.56,,5.03,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1600,2020,01,202001,2.41,,3.94,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1600,2020,01,202001,0.70,,16.43,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1600,2020,01,202001,0.81,,7.27,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1600,2020,01,202001,0.00,,0.00,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1700,2020,01,202001,28.13,,3.48,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1700,2020,01,202001,3.33,,1.98,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1700,2020,01,202001,5.94,,-0.66,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1700,2020,01,202001,0.10,,8.76,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1700,2020,01,202001,0.20,,2.72,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1700,2020,01,202001,5.01,,0.10,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
1700,2020,01,202001,15.27,,5.69,,,,2022-03-01,%,Badan Pusat Statistik,70,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor
1700,2020,01,202001,8.39,,5.82,,,,2022-03-01,%,Badan Pusat Statistik,71,Transportasi dan Pergudangan
1700,2020,01,202001,1.85,,5.52,,,,2022-03-01,%,Badan Pusat Statistik,72,Penyediaan Akomodasi dan Makan Minum
1700,2020,01,202001,3.75,,6.28,,,,2022-03-01,%,Badan Pusat Statistik,73,Informasi dan Komunikasi
1700,2020,01,202001,3.27,,13.73,,,,2022-03-01,%,Badan Pusat Statistik,74,Jasa Keuangan dan Asuransi
1700,2020,01,202001,3.79,,2.78,,,,2022-03-01,%,Badan Pusat Statistik,75,Real Estat
1700,2020,01,202001,2.22,,1.45,,,,2022-03-01,%,Badan Pusat Statistik,76,Jasa Perusahaan
1700,2020,01,202001,9.79,,1.39,,,,2022-03-01,%,Badan Pusat Statistik,77,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib"
1700,2020,01,202001,6.22,,2.99,,,,2022-03-01,%,Badan Pusat Statistik,78,Jasa Pendidikan
1700,2020,01,202001,1.85,,7.39,,,,2022-03-01,%,Badan Pusat Statistik,79,Jasa Kesehatan dan Kegiatan Sosial
1700,2020,01,202001,0.87,,4.11,,,,2022-03-01,%,Badan Pusat Statistik,80,Jasa Lainnya
1700,2020,01,202001,0.00,,0.00,,,,2022-03-01,%,Badan Pusat Statistik,81,Produk Domestik Regional Bruto dengan migas
1800,2020,01,202001,29.65,,-2.84,,,,2022-03-01,%,Badan Pusat Statistik,64,"Pertanian, Kehutanan, dan Perikanan"
1800,2020,01,202001,5.23,,-1.50,,,,2022-03-01,%,Badan Pusat Statistik,65,Pertambangan dan Penggalian
1800,2020,01,202001,18.83,,1.41,,,,2022-03-01,%,Badan Pusat Statistik,66,Industri Pengolahan
1800,2020,01,202001,0.16,,3.46,,,,2022-03-01,%,Badan Pusat Statistik,67,Pengadaan Listrik dan Gas
1800,2020,01,202001,0.10,,4.80,,,,2022-03-01,%,Badan Pusat Statistik,68,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang"
1800,2020,01,202001,9.27,,4.15,,,,2022-03-01,%,Badan Pusat Statistik,69,Konstruksi
